SR NO,ITEMS,UNIT PRICE,URL
1,ESP 32 NODE-MCU,_383 ($4.06),https://robocraze.com/products/nodemcu-32-wifi-bluetooth-esp32-development-board30-pin
2,Joysticks,_269 ($2.85),https://www.amazon.in/Robocraze-Joystick-Module-PS2-Set/dp/B086VZH739?crid=1T9EDQED5X406&dib=eyJ2IjoiMSJ9.71Mle9_UuFsaki8PzzDCHw72ptdZWy1zrSRiSWZM1L_ruZxIV4Kfpp6a-571SXdXvPKaMzT8IHcvzFnqOftn-KiqiblQ4Bc_aJNAbjl5U1vDB3Nam4WxW-ILETzc7Yz2Do49i5l7grcmuQ8AKMmJJJ75FYOdc6rtoxpKmbROX7fCFUZ21Grckjv91TKq_OxrOup_5wn4tSuJ2AnWXMsh1uEbpwU2jR3_1Icl2sl3JtE.mFQ87RqGz0lXexjIqM05LjYE95p8I0qIG8nsGVxqmbA&dib_tag=se&keywords=arduino+joystick&qid=1781111941&sprefix=aurdino+joystic%2Caps%2C270&sr=8-3
3,TP4056,_14 ($0.15),https://robocraze.com/products/tp4056-battery-charger-c-type-module-with-protection-1?variant=46170796261600&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic
4,Tactile Push Button Switch Assorted Kit,_156 ($1.65),https://robocraze.com/products/tactile-push-button-switch-assorted-kit-25-pieces-pack?variant=43220940390624&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic
5,Right angle tactile trggers,_383 ($4.06),https://www.amazon.in/Push-Button-Tactile-Switch-Height/dp/B08P5BN7JM
6,SPST Switches,_74 ($0.78), https://www.amazon.in/Panel-Mount-Momentary-Button-Switch/dp/B0B54XV8D2
7,18650 Battery,_217 ($2.30),https://robu.in/product/bak-nmc-18650-2600mah-3c-lithium-ion-3-6v-battery/
8,18560 Battery holder,_16 ($0.17),https://robocraze.com/products/18650-1-cell-holder?variant=42934046851296&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic
9,PCB,_2138 ($22.61),robu.in
10,3D print,_699 ($7.08),https://www.amazon.in/PLA-3D-Flexibility-Eco-Friendly-Compatible/dp/B071D82LDV?source=ps-sl-shoppingads-lpcontext&psc=1&smid=AJ6SIZC8YQDZX
,TOTAL ,"_4,349 ($45)",
